#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,matrixMulRegister
197,0000000b 00e72f40,"      FADD R29, R4, R17",0,43,55,Floating Point,32768,32,,,,,,,,,
198,0000000b 00e72f50,"      FADD R12, R12, R4",0,42,4,Floating Point,32768,32,,,,,,,,,
199,0000000b 00e72f60,"      FADD R16, R16, R4",0,42,,Floating Point,32768,32,,,,,,,,,
200,0000000b 00e72f70,"      FADD R13, R4, R13",0,42,3,Floating Point,32768,32,,,,,,,,,
201,0000000b 00e72f80,"      FADD R34, R34, R29",0,41,1,Floating Point,32768,32,,,,,,,,,
202,0000000b 00e72f90,"      FADD R4, R35, R12",0,41,1,Floating Point,32768,32,,,,,,,,,
203,0000000b 00e72fa0,"      FADD R17, R33, R16",0,40,5,Floating Point,32768,32,,,,,,,,,
204,0000000b 00e72fb0,"      FADD R12, R26, R13",0,39,1,Floating Point,32768,32,,,,,,,,,
205,0000000b 00e72fc0,"      FADD R29, R8, R15",0,38,44,Floating Point,32768,32,,,,,,,,,
206,0000000b 00e72fd0,"      FADD R16, R15, R9",0,39,4,Floating Point,32768,32,,,,,,,,,
207,0000000b 00e72fe0,"      FADD R11, R15, R10",0,40,2,Floating Point,32768,32,,,,,,,,,
208,0000000b 00e72ff0,"      FADD R13, R8, R5",0,41,,Floating Point,32768,32,,,,,,,,,
209,0000000b 00e73000,"      FADD R29, R28, R29",0,41,3,Floating Point,32768,32,,,,,,,,,
210,0000000b 00e73010,"      FADD R28, R43, R16",0,41,2,Floating Point,32768,32,,,,,,,,,
211,0000000b 00e73020,"      FADD R26, R42, R11",0,40,2,Floating Point,32768,32,,,,,,,,,
212,0000000b 00e73030,"      FADD R43, R12, R13",0,39,1,Floating Point,32768,32,,,,,,,,,
